"Path","Method","Name","File","Line"
"/leaves-employee","GET","leaves-employee","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","563"
"/leave-settings","GET","leave-settings","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","690"
"/leaves-paginate","GET","leaves.paginate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","567"
"/leaves-stats","GET","leaves.stats","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","568"
"/leave-summary","GET","leave-summary","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","651"
"/leave-summary/export/excel","GET","leave.summary.exportExcel","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","655"
"/leave-summary/export/pdf","GET","leave.summary.exportPdf","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","656"
"/leave-types","GET","leave-types","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","691"
"/leave-update","POST","leave-update","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","565"
"/leave-update-status","POST","leave-update-status","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","652"
"/managers","GET","managers.list","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","559"
"/my-attendance","GET","my-attendance","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","734"
